Date,Open,High,Low,Close,Volume,OpenInt
41330 ,32.146,32.146,32.146,32.146,101,0
41331 ,31.371,31.371,31.371,31.371,1030,0
41333 ,31.798,31.798,31.798,31.798,206,0
41334 ,32.272,32.272,32.272,32.272,308,0
41338 ,32.35,32.35,32.35,32.35,247,0
41339 ,32.33,32.33,32.272,32.272,257,0
41340 ,32.449,32.449,32.022,32.174,1489,0
41341 ,32.06,32.292,32.06,32.292,1267,0
41344 ,32.37,32.4,32.012,32.11,1781,0
41345 ,32.41,32.41,32.41,32.41,101,0
41346 ,32.38,32.38,32.38,32.38,101,0
41347 ,32.127,32.127,32.127,32.127,101,0
41352 ,31.954,31.954,31.954,31.954,237,0
41355 ,32.015,32.015,31.946,31.946,529,0
41358 ,31.614,31.614,31.614,31.614,452,0
41359 ,31.771,31.781,31.712,31.712,4462,0
41360 ,31.712,31.741,31.654,31.654,1427,0
41366 ,32.285,32.285,32.285,32.285,108,0
41369 ,31.421,31.761,31.421,31.535,1853,0
41372 ,31.781,31.781,31.781,31.781,199,0
41373 ,32.033,32.176,32.033,32.176,1217,0
41375 ,32.481,32.481,32.481,32.481,101,0
41379 ,31.654,31.712,31.634,31.634,1343,0
41380 ,31.839,31.839,31.839,31.839,206,0
41383 ,32.063,32.063,32.063,32.063,410,0
41393 ,33.072,33.111,33.013,33.111,1027,0
41394 ,32.644,32.644,32.644,32.644,101,0
41396 ,33.393,33.393,33.374,33.374,308,0
41397 ,33.528,33.538,32.616,33.461,2573,0
41401 ,33.782,33.782,33.782,33.782,244,0
41402 ,34.035,34.035,33.878,33.878,1542,0
41404 ,34.355,34.355,33.995,33.995,206,0
41407 ,33.624,33.762,33.624,33.752,617,0
41408 ,33.684,33.897,33.684,33.897,617,0
41409 ,34.189,34.189,34.189,34.189,101,0
41410 ,33.937,34.151,33.897,33.897,693,0
41415 ,34.266,34.266,33.888,34.005,1781,0
41416 ,34.025,34.025,33.509,33.509,1030,0
41422 ,33.83,33.83,33.83,33.83,131,0
41424 ,33.295,33.461,33.295,33.461,719,0
41425 ,32.896,32.896,32.896,32.896,410,0
41429 ,32.798,32.798,32.798,32.798,641,0
41430 ,32.49,32.518,32.342,32.471,823,0
41431 ,32.442,32.654,32.442,32.654,2780,0
41432 ,32.654,32.953,32.654,32.751,26003,0
41435 ,33.101,33.101,33.101,33.101,101,0
41436 ,32.644,32.683,32.275,32.422,24996,0
41437 ,32.556,32.556,32.508,32.508,466,0
41438 ,32.245,32.576,32.245,32.566,1765,0
41439 ,32.663,32.731,32.518,32.536,2502,0
41442 ,32.818,33.042,32.788,32.906,2640,0
41443 ,33.139,33.207,33.072,33.139,3884,0
41444 ,33.111,33.111,33.033,33.033,1447,0
41446 ,32.157,32.176,31.274,31.274,5619,0
41449 ,30.819,30.848,30.449,30.848,653,0
41450 ,31.415,31.415,31.237,31.286,2719,0
41451 ,31.179,31.473,31.179,31.473,615,0
41452 ,31.587,31.687,31.587,31.687,2047,0
41453 ,31.993,31.993,31.993,31.993,101,0
41456 ,32.19,32.19,32.117,32.133,3084,0
41457 ,32.078,32.078,32.078,32.078,409,0
41460 ,31.951,31.961,31.891,31.961,363,0
41463 ,32.418,32.418,32.171,32.171,786,0
41464 ,31.971,32.068,31.971,32.029,510,0
41465 ,32.32,32.348,32.32,32.348,349,0
41466 ,32.514,32.583,32.514,32.583,1951,0
41467 ,33.314,33.793,32.613,32.971,1132,0
41470 ,33.216,33.216,33.158,33.158,205,0
41472 ,33.08,33.08,33.08,33.08,101,0
41473 ,33.041,33.041,32.825,32.873,4244,0
41474 ,32.873,33.021,32.873,33.021,2632,0
41477 ,32.961,33.128,32.923,33.128,12894,0
41478 ,33.08,33.08,32.758,32.758,1007,0
41479 ,32.981,32.981,32.633,32.633,9213,0
41480 ,32.933,32.933,32.883,32.883,1391,0
41481 ,32.961,33.011,32.923,33.011,409,0
41484 ,33.109,33.128,32.991,33.089,3216,0
41485 ,32.834,33.021,32.834,33.021,1642,0
41487 ,33.236,33.353,33.177,33.353,981,0
41488 ,33.674,33.674,33.45,33.45,804,0
41491 ,33.422,33.45,33.284,33.44,1010,0
41492 ,33.089,33.333,33.089,33.333,1232,0
41493 ,33.119,33.119,33.05,33.05,209,0
41495 ,33.245,33.245,33.245,33.245,1027,0
41498 ,33.216,33.226,33.216,33.226,565,0
41499 ,33.45,33.489,33.45,33.469,12253,0
41501 ,32.815,33.226,32.815,33.226,1647,0
41502 ,33.138,33.206,33.08,33.08,1251,0
41505 ,33.099,33.099,33.001,33.001,2130,0
41507 ,32.593,33.284,32.593,32.651,1139,0
41508 ,32.795,32.795,31.188,32.68,5079,0
41509 ,32.942,32.942,32.942,32.942,252,0
41512 ,32.843,32.991,32.825,32.951,18338,0
41513 ,32.3,32.448,32.18,32.18,7801,0
41514 ,32.26,32.368,32.078,32.24,9852,0
41515 ,32.378,32.477,32.3,32.398,9351,0
41516 ,32.401,32.401,32.213,32.283,8515,0
41520 ,32.72,32.853,32.524,32.534,14660,0
41521 ,32.67,32.933,32.67,32.805,20910,0
41522 ,33.07,33.128,32.873,32.883,97084,0
